bin,rows,events,mean_predicted,observed_rate,min_predicted,max_predicted,bin_low,bin_high,standard_error,residual,z,population,variant
8,121353,19,0.000219721124081665,0.0001565680288085173,0.00019951012047113504,0.00024095931557081553,0.00019950988932960524,0.0002409593847634965,4.2546410939009494e-05,-6.31530952731477e-05,-1.4843342570934595,holdout (in-time),platt
9,121350,23,0.0002649286080833901,0.0001895344046147507,0.00024095954621308535,0.0002906230728731359,0.0002409593847634965,0.0002906247126758042,4.6718296907016235e-05,-7.53942034686394e-05,-1.6138046217458875,holdout (in-time),platt
10,121355,27,0.0003200828317153209,0.00022248774257344157,0.0002906247126758042,0.0003514887146364575,0.0002906247126758042,0.0003514888151070801,5.134910007646787e-05,-9.759508914187936e-05,-1.900619270767025,holdout (in-time),platt
11,121353,36,0.00038721137205663045,0.00029665521247929593,0.0003514888581659183,0.00042573480236666013,0.0003514888151070801,0.00042573496276733714,5.6476099554174704e-05,-9.055615957733452e-05,-1.603442169204134,holdout (in-time),platt
12,121353,54,0.0004701638461972365,0.0004449828187189439,0.0004257352033683525,0.0005184556448454404,0.00042573496276733714,0.0005184556905709701,6.22296327367537e-05,-2.5181027478292633e-05,-0.40464689201709464,holdout (in-time),platt
13,121352,80,0.0005758605641930576,0.0006592392379194409,0.0005184561021007369,0.0006383199972278654,0.0005184556905709701,0.0006383204990133258,6.886683396326429e-05,8.337867372638333e-05,1.2107232019822503,holdout (in-time),platt
14,121352,82,0.0007132063334515152,0.000675720218867427,0.0006383206244596909,0.0007961335547906964,0.0006383204990133258,0.0007961343510719534,7.663535973644415e-05,-3.748611458408819e-05,-0.4891490653010084,holdout (in-time),platt
15,121353,127,0.0009011901748846726,0.0010465336662464051,0.0007961343510719534,0.0010197579917714736,0.0007961343510719534,0.001019765251501458,8.613649312823406e-05,0.0001453434913617326,1.6873625345456684,holdout (in-time),platt
16,121352,163,0.0011725669564248604,0.001343199947260861,0.001019765251501458,0.0013488781359676544,0.001019765251501458,0.0013488788143999127,9.824050526568099e-05,0.00017063299083600048,1.7368904035513837,holdout (in-time),platt
17,121354,234,0.0015907863184392787,0.0019282429915783576,0.0013488788143999127,0.0018856203825942917,0.0013488788143999127,0.0018856209232763052,0.0001144018811439951,0.00033745667313907885,2.949747589502743,holdout (in-time),platt
18,121353,323,0.002353819821167311,0.0026616564897447943,0.0018856212837309806,0.002980880018193363,0.0018856209232763052,0.002980880488846263,0.00013910720391807751,0.00030783666857748344,2.2129455549891826,holdout (in-time),platt
19,121353,605,0.005411814226472956,0.004985455654165946,0.0029808815870363617,0.04129055476854252,0.002980880488846263,0.04129055476854252,0.00021060458872618012,-0.0004263585723070099,-2.024450534937511,holdout (in-time),platt
0,246133,4,0.0,1.6251376288429426e-05,0.0,0.0,0.0,1.566301544373323e-05,0.0,1.6251376288429426e-05,,train (in-sample),isotonic
1,1002170,32,2.016838010352053e-05,3.1930710358522006e-05,1.566301544373323e-05,4.694137137254155e-05,1.566301544373323e-05,5.10083546315586e-05,4.486011992978846e-06,1.1762330255001474e-05,2.622001517920806,train (in-sample),isotonic
2,1498850,73,5.100836176365252e-05,4.870400640491043e-05,5.10083546315586e-05,6.16982936002361e-05,5.10083546315586e-05,7.23882325689136e-05,5.83351776830349e-06,-2.30435535874209e-06,-0.3950198577028155,train (in-sample),isotonic
3,277160,14,7.2389159753146e-05,5.051233944292106e-05,7.23882325689136e-05,0.00011997682180057857,7.23882325689136e-05,0.00012949453964691157,1.6160536401900258e-05,-2.1876820310224945e-05,-1.3537186988206982,train (in-sample),isotonic
4,555736,59,0.00012949457434062494,0.00010616551743993551,0.00012949453964691157,0.00013913481238966068,0.00012949453964691157,0.00014877508513240983,1.5263825751331326e-05,-2.332905690068942e-05,-1.5283885757575972,train (in-sample),isotonic
5,724792,110,0.0001487751100635146,0.00015176767955496197,0.00014877508513240983,0.00015461014580059906,0.00014877508513240983,0.00015781001777992866,1.432603922899876e-05,2.992569491447382e-06,0.20889022036110472,train (in-sample),isotonic
6,503553,101,0.00017249477286963765,0.00020057471606762346,0.00015781001777992866,0.00021484914520732943,0.00015781001777992866,0.00024084446952285274,1.8506654436540172e-05,2.8079943197985806e-05,1.517288999709413,train (in-sample),isotonic
7,582333,159,0.00024084493922915044,0.0002730396525699213,0.00024084446952285274,0.00029842878056517537,0.00024084446952285274,0.00030642660154327575,2.0334371637761827e-05,3.2194713340770876e-05,1.5832657096216276,train (in-sample),isotonic
8,801961,291,0.00035392160512824855,0.0003628605381059677,0.00030642660154327575,0.0004438179663995641,0.00030642660154327575,0.00046835273651813186,2.100390505262722e-05,8.938932977719171e-06,0.4255843356424366,train (in-sample),isotonic
9,293802,160,0.0004943059195547734,0.0005445844480296254,0.00046835273651813186,0.0006454501737326765,0.00046835273651813186,0.0006713984270093995,4.100748814982941e-05,5.027852847485205e-05,1.2260816437024613,train (in-sample),isotonic
10,760365,544,0.0007114711099853526,0.0007154458713907137,0.0006713984270093995,0.000968147933004163,0.0006713984270093995,0.0009825876331063482,3.05782781625848e-05,3.974761405361083e-06,0.1299864362612984,train (in-sample),isotonic
11,353077,333,0.0009825876331063482,0.0009431370494254795,0.0009825876331063482,0.0009825876331063482,0.0009825876331063482,0.0010764708317807313,5.272753417922536e-05,-3.945058368086873e-05,-0.7481970149935867,train (in-sample),isotonic
